id|title|publisher|address|note|pdate|journal|volume|pages|tech|institution|booktitle|booktile|editor|year|type|month|clusterid|authors;;;;;;;;;;;;;;;;;;;;;;;
999| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| David W. Aha, Dennis Kibler, and Mark K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
998| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1), ||||||| 1991. || January |581| David W. Aha, Dennis Kibler, and Marc K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
997| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
996| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
995| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
994| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Al-bert. ;;;;;;;;;;;;;;;;;;;;;;;
993| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Al-bert. ;;;;;;;;;;;;;;;;;;;;;;;
992| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. Aha, D. Kibler, and M. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
991| Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6, | 37-66, |||||| 1991. || January |581| D. Aha, D. Kibler and M. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
